1|Geography|Which body of water has the distinction of being the world's largest lake by surface area?|Caspian Sea|Lake Superior|Aral Sea|Lake Victoria|"The Caspian Sea is actually considered to be a lake not a sea despite its name. It can be found in Asia surrounded by a number of countries including: Russia Iran and Kazakhstan." 
2|Television|Which of these is a television comedy that features six friends who live in New York City?|Friends|Frasier|Cheers|Facts of Life|"This show features the characters Rachel (Jennifer Aniston) Monica (Courteney Cox Arquette) Phoebe (Lisa Kudrow) Joey (Matt LeBlanc) Chandler (Matthew Perry) and Ross (David Schwimmer). Other names considered for the show prior to its airing were 'Six In One|' 'Insomnia Cafe' and 'Across the Hall.'" 
3|Geography|Which of these exciting tourist attractions is not located in the U.S. state of California?|Disney World|Disneyland|San Diego Zoo|Mann's Chinese Theatre|"Walt Disney World is in Florida U.S.A. and the other three are all in the sunny Pacific Ocean state of California the largest by population in the country." 
4|Geography|Wall Street is famous for being the location of several major financial institutions in the United States.  In which New York City borough is it located?|Manhattan|Brooklyn|The Bronx|Queens|"The famous Wall Street was named for an earthen wall built by Dutch settlers in 1653 to repel an expected English invasion.  It is narrow and short extending only about seven blocks from Broadway to the East River." 
5|History|"Among his other extraordinary accomplishments what ancient historical figure is said to have cut the Gordian Knot?"|Alexander the Great|Julius Caesar|Buddha|Jesus Christ|"The Gordian Knot was tied by King Gordius in order to fasten a wagon dedicated to Zeus at a great temple.  Zeus later declared that the person who untied the Gordian Knot would become 'Lord of All Asia'.  Alexander took the easy way and just cut the thing!  During his conquest of Persia Alexander very nearly fulfilled this prophecy." 
6|History|Which of these wars was not fought at least partially in Asia?|War of 1812|Korean War|Vietnam War|World War II|"The War of 1812 was fought in North America between the United States and Britain from the years 1812 to 1815.  It never spilled over into Asia.  The Korean and Vietnam Wars were centered in the Asian countries of their namesakes.  World War II was fought across East Asia from Singapore to Siberia." 
7|Sci / Tech|"Human beings enjoy dozens of different kinds of fruits acquiring them from trees bushes vines and other plants.  Which tree-borne fruit has two varieties that we call 'Delicious'?"|Apple|Cherry|Peach|Apricot|"The most popular type of apple in the United States is the Red Delicious variety but this is certainly not the only variety of apple available there are dozens.  Some other popular apple varieties include Granny Smith Fuji and the Green Delicious.  As the popular saying goes 'An apple a day keeps the doctor away.'" 
8|Literature|"Who was the author of the literary work called 'Uncle Tom's Cabin' to which Abraham Lincoln gave partial credit for instigating the U.S. Civil War?"|Harriet Beecher Stowe|Mark Twain|Ralph Waldo Emerson|Julia Ward Howe|"Harriet Beecher Stowe's novel 'Uncle Tom's Cabin' was most likely the best-selling book of the 19th century in the United States (though statistical figures were not as rigorously recorded at the time).  The anti-slavery book featured characters such as Little Eva Eliza and the slavemaster Simon Legree.  Stowe's understanding of the slave experience came during several visits to Kentucky then a slave state." 
9|People|She was the winner of 20 Wimbledon titles while he is celebrated on the third Monday of every January in the United States.  What last name do these two have in common?|King|Evert|Court|Austin|"Billie Jean King was the winner of a total of 20 Wimbledon titles (doubles mixed doubles and singles) with 6 individual titles.  Martin Luther King Jr. Day is celebrated in late January every year in the United States commemorating the life of the famous civil rights leader who spoke about his 'dream' in Washington D.C. in 1963.  He won the Nobel Peace Prize the following year!" 
10|Geography|"Into what body of water does the Rio Grande which has its source in Colorado and defines the border between Mexico and Texas flow?"|Gulf of Mexico|Caribbean Sea|Atlantic Ocean|Pacific Ocean|"Beginning in the San Juan Mountains in the U.S. state of Colorado the 1|885 mile long river crosses the state of New Mexico before defining the border of Texas and New Mexico beginning at El Paso all the way to the Gulf of Mexico." 
